name,手表款式,手表品牌,price,ww_price,商品编号,商品型号,机芯,机芯型号,表壳,尺寸,厚度,表冠,表底,表镜,表盘,表带,表带颜色,表扣,防水,功能,推出年份
欧米茄Omega-星座系列 123.25.24.60.55.001 女士石英表,女士手表 ,欧米茄 ,49700,42200,5987 ,123.25.24.60.55.001 ,石英精准机芯,欧米茄 1376,"18Kt玫瑰金,精钢",24mm,6mm,普通,-,蓝宝石水晶玻璃,白色珍珠贝母,间金链带,"金色,银色",折叠扣,100米,-,2009年
欧米茄Omega-星座系列 123.15.24.60.51.002 女士石英表,女士手表 ,欧米茄 ,38600,32800,5898 ,123.15.24.60.51.002 ,石英精准机芯,欧米茄 1376,精钢,24毫米,-,普通,-,"圆弧形抗磨损蓝宝石水晶镜面,內部经防反光处理",黑色、镶钻,精钢表带,银色,一般,100 米,-,-
欧米茄-海马系列 231.53.49.10.04.001 男士机械表,男士手表 ,欧米茄 ,186300,163980,7779 ,231.53.49.10.04.001 ,自动机械机芯,欧米茄 2211 手动上链机芯,白金,49.2mm,-,普通,-,圆弧形双面防反光抗磨损蓝宝石水晶镜面,白色珐琅,皮带,黑色,普通,150m,-,-
欧米茄-海马系列 224.30.55.21.04.001 男士机械表,71900元,63270元,5343 ,224.30.55.21.04.001 
欧米茄-超霸系列 321.10.44.50.01.001 男士机械表,男士手表 ,欧米茄 ,54100,47800,7811 ,321.10.44.50.01.001 ,自动上链计时机芯,欧米茄 3313 备有柱轮和同轴擒纵装置的自动上链计时机芯,精钢,44.25mm,-,普通,-,抗磨损蓝宝石水晶镜面內部经防反光处理,黑色,不锈钢,银色,普通,100m,动力储存52小时 计时功能 日期显示,-
欧米茄-星座系列 123.55.24.60.55.013 女士石英表,女士手表 ,欧米茄 ,226200,192270,6036 ,123.55.24.60.55.013 ,石英精准机芯,欧米茄 1376,红金表壳镶钻,24.0 mm,-,普通,-,圆弧形双面防反光抗磨损蓝宝石水晶,镶钻白色珍珠母贝,红金表链,金色,一般,100 米 (330 英尺),-,-
欧米茄-碟飞系列 425.30.34.20.55.001 女士机械表,61200,52000,6394 ,425.30.34.20.55.001 
欧米茄-海马系列 222.28.42.20.04.001 女士机械表,女士手表 ,欧米茄 ,137500,116900,6732 ,222.28.42.20.04.001 ,同轴擒纵自动机械上链计时机芯,欧米茄 2500,精钢 红金,42mm,-,旋入式表冠,背透,圆弧形双面防反光抗磨损蓝宝石水晶,白漆,鳄鱼皮表带,白色,针扣,600m,日期显示 动力储存 48 小时,-
欧米茄-超霸系列 323.10.40.40.02.001 男士机械表 ,30200,25700,5394 ,323.10.40.40.02.001 

欧米茄-奥林匹克系列 321.53.44.52.01.002 男士机械表,男士手表 ,欧米茄 ,181000,153850,5318 ,321.53.44.52.01.002 ,自动上链计时机芯,欧米茄3888,黄金表壳,44.25mm,17mm,普通,无背透,防反光抗磨损蓝宝石水晶,黑色,鳄鱼皮表带,黑色,黄金,100 米 (330 英尺),日期显示、计时功能计时功能、获瑞士官方天文台认证,-
欧米茄-星座系列 123.10.24.60.05.001 女士石英表,女士手表 ,欧米茄 ,20400,17300,5830 ,123.10.24.60.05.001 ,石英机芯,-,精钢,24mm,6mm,普通,无背透,蓝宝石水晶玻璃,白色珍珠贝母,钢链带,银色,折叠扣,100m,-,2009年
欧米茄-碟飞系列 425.68.34.20.63.001 女士机械表,185400元,163100元,6515 ,425.68.34.20.63.001 
欧米茄 星座系列 121.32.44.52.01.001 男士机械表,男士手表 ,欧米茄 ,62100,52800,6647 ,121.32.44.52.01.001 ,同轴擒纵自动机械上链机芯,欧米茄3890,精钢,44mm,-,普通,背透,蓝宝石水晶玻璃,黑色,橡胶,黑色,一般,100m,计时功能、获瑞士官方天文台认证、日期显示、小秒针计盘,-
欧米茄-海马系列 232.15.38.20.01.001 女士机械表,女士手表 ,欧米茄 ,112700,99180,7792 ,232.15.38.20.01.001 ,自动机械机芯,-,精钢表壳,37.5mm,-,普通,-,圆弧形双面防反光抗磨损蓝宝石水晶,黑色,不锈钢,银色,普通,600m,日期显示、天文台认证、排氦气阀门,-
